# B1 Behörden & Bürokratie (Bureaucracy, Registration & Civil Offices)
# Format: German; English

die Meldebescheinigung, -en; the registration certificate
der Personalausweis, -e; the national identity card
der Reisepass, die Reisepässe; the passport
die Wohnungsgeberbestätigung, -en; the landlord confirmation of moving in
das Bürgeramt, die Bürgerämter; the local municipal citizen's registration office
die Ausländerbehörde, -n; the immigration authority / foreigner registration office
der Aufenthaltstitel, -; the residence permit
das Führungszeugnis, -se; the certificate of good conduct / police clearance
das Finanzamt, die Finanzämter; the tax office
die Steuer-ID, -s; the tax identification number
die Steuererklärung, -en; the tax return declaration
das Bankkonto, die Bankkonten; the bank account
das Girokonto, die Girokonten; the current / checking account
die Überweisung, -en; the bank credit transfer
der Dauerauftrag, die Daueraufträge; the standing payment order
die Lastschrift, -en; the direct debit
die Frist einhalten (hält ein, hielt ein, hat eingehalten); to comply with / meet the deadline
die Frist versäumen (versäumt, versäumte, hat versäumt); to miss the deadline
Einspruch einlegen gegen (+ Akk); to lodge an objection / appeal against
der Widerspruch, die Widersprüche; the formal contradiction / contestation
das Formular ausfüllen (füllt aus, füllte aus, hat ausgefüllt); to fill in / complete the form
amtlich beglaubigen lassen; to have officially certified / notarized
der Gebührenbescheid, -e; the fee notification assessment
die Bearbeitungszeit, -en; the processing turnaround time
das Aktenzeichen, -; the file reference number / docket number
