# B2 Nomen-Verb-Verbindungen (NVR)
# Format: German idiom (Noun-Verb Collocation); English translation & meaning

in Betracht ziehen; to take into consideration / consider
zur Verfügung stehen; to be available / at one's disposal
zur Verfügung stellen; to make available / provide
eine Entscheidung treffen; to make / reach a decision
in Anspruch nehmen; to make use of / take advantage of
einen Antrag stellen auf (+ Akk); to submit an application / apply for
unter Beweis stellen; to prove / demonstrate
Kritik üben an (+ Dat); to criticize / voice criticism of
Abschied nehmen von (+ Dat); to say goodbye / take leave of
zu der Überzeugung gelangen; to arrive at the conviction / realize
in Erwägung ziehen; to contemplate / weigh up
einen Eindruck machen auf (+ Akk); to make an impression on
eine Rolle spielen; to play a role / be important
zur Sprache bringen; to bring up for discussion / address
in Kauf nehmen; to accept (something negative) as part of a deal
zum Ausdruck bringen; to express / voice
Maßnahmen ergreifen; to take measures / steps
Verantwortung tragen für (+ Akk); to bear responsibility for
Rücksicht nehmen auf (+ Akk); to show consideration for
einen Beitrag leisten zu (+ Dat); to make a contribution to
außer Zweifel stehen; to be beyond doubt
in Frage kommen; to be out of the question / to be considered
in Aufregung versetzen; to cause excitement / agitate
Erfahrungen sammeln; to gather experience
den Entschluss fassen; to make up one's mind / resolve to do something
