# B2 Redemittel - Diskussion & Argumentation
# Format: German phrase; English meaning

Meines Erachtens nach...; In my view / in my opinion...
Ich vertrete den Standpunkt, dass...; I take the viewpoint that...
Einerseits trifft das zu, andererseits...; On the one hand that is true, on the other hand...
Man darf nicht außer Acht lassen, dass...; One must not lose sight of the fact that...
Dem kann ich nur teilweise zustimmen.; I can only partially agree with that.
Da bin ich ganz anderer Meinung.; I am of a completely different opinion there.
Das Argument überzeugt mich nicht, weil...; That argument does not convince me because...
Ich möchte dazu Folgendes anmerken:; I would like to make the following comment on that:
Es steht außer Frage, dass Handlungsbedarf besteht.; It is beyond question that action is needed.
Zusammenfassend lässt sich sagen, dass...; In summary it can be said that...
Daraus ergibt sich die Schlussfolgerung, dass...; From this follows the conclusion that...
Wir müssen die Vor- und Nachteile sorgfältig abwägen.; We must carefully weigh the pros and cons.
Darf ich hier kurz einhaken?; May I interject / step in briefly here?
Das führt uns direkt zum nächsten Punkt.; That brings us directly to the next point.
Könnten Sie Ihren Gedanken bitte näher erläutern?; Could you please explain your thought in more detail?
