# C1 Wortschatz - Gehobene Sprache & Akademischer Diskurs
# Format: German (with register/collocation hints); English meaning

eklatant; blatant / glaring / flagrant
unabdingbar; indispensable / essential / imperative
frappierend; striking / astonishing / astounding
die Diskrepanz, -en; the discrepancy / divergence
die Kohärenz, (nur Sg.); the coherence / consistency
die Konvergenz, -en; the convergence / merging
die Quintessenz, -en; the quintessence / core essence
der Paradigmenwechsel, -; the paradigm shift
die Implikation, -en; the implication / consequence
das Postulat, -e; the postulate / premise / requirement
differenziert; nuanced / differentiated
adäquat; adequate / appropriate / fitting
subsumieren (subsumiert, subsumierte, hat subsumiert); to subsume / categorise under
konterkarieren (konterkariert, konterkarierte, hat konterkariert); to thwart / counteract
postulieren (postuliert, postulierte, hat postuliert); to postulate / stipulate
relativieren (relativiert, relativierte, hat relativiert); to put into perspective / relativize
implizieren (impliziert, implizierte, hat impliziert); to imply / entail
manifestieren (manifestiert, manifestierte, hat manifestiert); to manifest / become evident
evozieren (evozierte, hat evoziert); to evoke / trigger
tangieren (tangiert, tangierte, hat tangiert); to affect / concern / impinge on
nichtig; null and void / futile / insignificant
redundant; redundant / superfluous
kongruent; congruent / matching / identical
prägnant; concise / succinct / pithy
ambivalent; ambivalent / conflicted / contradictory
